Entry Date,Exit Date,Entry Price,Exit Price,Return,Outcome
2024-05-03,2024-05-17,183.38,189.87,0.0354,Timed out
2024-05-20,2024-06-04,191.04,194.35,0.0173,Timed out
2024-06-05,2024-06-11,195.87,207.15,0.0576,Target Hit
2024-06-12,2024-06-27,213.07,214.1,0.0048,Timed out
2024-07-01,2024-07-08,216.75,227.82,0.0511,Target Hit
2024-07-09,2024-07-18,228.68,224.18,-0.0197,Stop Hit
2024-09-30,2024-10-07,233.0,221.69,-0.0485,Stop Hit
2024-10-15,2024-10-29,233.85,233.67,-0.0008,Timed out
2024-11-29,2024-12-13,237.33,248.13,0.0455,Timed out
2024-12-16,2024-12-31,251.04,250.42,-0.0025,Stop Hit
2025-08-08,2025-08-22,229.35,227.76,-0.0069,Timed out
2025-09-03,2025-09-10,238.47,226.79,-0.049,Stop Hit
2025-09-19,2025-10-03,245.5,258.02,0.051,Target Hit
2025-10-08,2025-10-10,258.06,245.27,-0.0496,Stop Hit
2025-10-20,2025-11-03,262.24,269.05,0.026,Timed out
2025-11-11,2025-11-25,275.25,276.97,0.0062,Timed out
2025-11-26,2025-12-11,277.55,278.03,0.0017,Timed out
