Entry Date,Exit Date,Entry Price,Exit Price,Return,Outcome,Equity
2024-02-15,2024-03-08,179.87,188.22,0.04642241618947014,Timed out,1.0464224161894702
2024-03-12,2024-04-03,189.84,198.3,0.04456384323640965,Timed out,1.0930550207036027
2024-05-14,2024-05-20,201.51,195.58,-0.029427819959307124,Stop Hit,1.0608887943487204
2024-07-01,2024-07-23,205.45,210.33,0.023752737892431364,Timed out,1.0860878078139031
2024-08-23,2024-09-06,218.31,212.46,-0.0267967569053181,Stop Hit,1.056984176850084
2024-10-18,2024-11-06,225.37,247.06,0.0962417358122199,Target Hit,1.1587101687561865
2024-11-22,2024-12-16,248.55,239.58,-0.036089318044659015,Timed out,1.116893108954364
2025-01-15,2025-02-06,252.35,276.9,0.0972855161482068,Target Hit,1.2255506315413645
2025-02-18,2025-02-20,279.95,266.8,-0.04697267369173059,Stop Hit,1.1679832416332776
2025-05-02,2025-05-23,252.51,260.71,0.032473961427270166,Timed out,1.2059122843697747
2025-06-10,2025-07-01,268.6,290.41,0.08119880863737901,Target Hit,1.3038309251817806
2025-07-02,2025-07-24,292.0,296.55,0.015582191780821956,Timed out,1.3241474687077295
2025-07-25,2025-08-15,298.62,290.49,-0.027225236085995565,Timed out,1.288097241259488
2025-08-28,2025-09-19,301.07,314.78,0.04553758262198153,Timed out,1.3467540758084884
2025-09-26,2025-10-10,316.06,300.89,-0.047997215718534506,Stop Hit,1.2821136299120928
2025-11-10,2025-11-17,316.89,300.37,-0.052131654517340344,Stop Hit,1.2152749251055424
2025-12-22,2026-01-13,323.09,310.9,-0.03772942523754991,Stop Hit,1.1694233006757038
